ticker,debtToEquity(%),currentRatio(%),ROE(%),Runway(Years),TotalCash(M$),FreeCashflow(M$),OperatingCashflow(M$),NetIncome(M$),PBR,BPS($),lastUpdated
ORCL,432.511,90.9,69.03,1.94,19766.0,-10208.0,22296.0,15425.0,18.33,10.43,2026-01-20 21:24:29
PSTG,16.281,165.2,9.27,inf,1531.61,429.02,820.59,130.36,17.17,4.25,2026-01-20 21:24:30
EQIX,147.969,134.0,7.7,inf,2077.0,3821.75,3748.0,1071.0,5.56,144.18,2026-01-20 21:24:31
DLR,79.248,130.4,5.83,inf,3319.92,2183.97,2462.66,1358.79,2.52,64.99,2026-01-20 21:24:31
CONE,,,,,,,,,,,2026-01-20 21:24:32
CONL,,,,,,,,,,,2026-01-20 21:24:33
PANW,4.951,98.5,15.32,inf,4210.0,3034.45,3977.0,1116.9,14.99,12.52,2026-01-20 21:24:34
CRWD,20.154,181.1,-8.81,inf,4801.08,1416.66,1460.2,-314.16,28.48,15.93,2026-01-20 21:24:35
ZS,92.65,182.4,-2.41,inf,3321.27,956.49,1089.4,-41.04,17.21,12.43,2026-01-20 21:24:36
FTNT,148.116,102.7,228.04,inf,3123.4,1709.1,2448.0,1873.6,76.14,0.99,2026-01-20 21:24:37
KVUE,85.659,98.0,13.47,inf,1139.0,1753.37,2136.0,1433.0,3.1,5.55,2026-01-20 21:24:37
PG,67.125,71.4,31.9,inf,11171.0,12201.0,18923.0,16473.0,6.43,22.47,2026-01-20 21:24:38
KO,144.771,121.1,42.44,inf,15781.0,1412.88,7603.0,13031.0,9.7,7.26,2026-01-20 21:24:39
PEP,260.19,91.2,37.16,inf,8661.0,7137.5,11755.0,7223.0,10.33,14.16,2026-01-20 21:24:40
WMT,66.747,80.3,23.66,inf,10582.0,10372.75,40977.0,22910.0,9.93,12.05,2026-01-20 21:24:41
COST,26.968,103.8,30.33,inf,17183.0,7170.25,14763.0,8302.0,14.12,68.26,2026-01-20 21:24:42
CL,680.048,93.0,293.63,inf,1472.0,2739.25,4014.0,2908.0,79.59,1.06,2026-01-20 21:24:43
KMB,500.068,77.3,136.88,inf,617.0,1400.88,2622.0,1971.0,24.74,4.01,2026-01-20 21:24:43
TGT,132.062,97.5,25.09,inf,3822.0,2597.13,6774.0,3763.0,3.25,34.23,2026-01-20 21:24:44
KHC,50.968,112.7,-9.69,inf,3134.0,2780.38,4474.0,-4366.0,0.67,35.01,2026-01-20 21:24:45
PM,,84.8,,inf,4044.0,7741.75,11526.0,8601.0,-24.76,-7.01,2026-01-20 21:24:46
UL,160.679,76.5,28.7,inf,5370.0,5469.37,8442.0,5555.0,6.8,9.49,2026-01-20 21:24:47
MO,,61.8,,inf,3472.0,7409.12,9359.0,8844.0,-39.19,-1.58,2026-01-20 21:24:48
MMM,281.904,184.2,72.92,10.59,5188.0,-489.88,2541.0,3401.0,19.26,8.71,2026-01-20 21:24:49
V,68.807,107.8,52.07,inf,18997.0,20072.87,23059.0,19853.0,16.94,19.38,2026-01-20 21:24:49
MA,239.715,112.2,184.86,inf,10648.0,16258.5,17480.0,14250.0,61.44,8.78,2026-01-20 21:24:50
AXP,185.273,160.2,33.94,,53553.0,,21139.0,10411.0,7.75,47.05,2026-01-20 21:24:51
PYPL,60.239,134.0,24.36,inf,10755.0,3125.63,6426.0,4917.0,2.65,21.46,2026-01-20 21:24:52
XYZ,36.049,218.3,14.69,inf,8784.81,241.06,1972.51,3135.89,1.79,36.94,2026-01-20 21:24:53
SOFI,31.999,115.0,8.59,,3268.47,,-2951.38,640.24,3.58,7.29,2026-01-20 21:24:54
TOST,0.894,273.9,15.9,inf,1857.0,574.5,614.0,273.0,9.77,3.43,2026-01-20 21:24:55
AFRM,241.242,1461.2,7.6,inf,1477.72,192.74,971.61,233.1,7.48,9.99,2026-01-20 21:24:55
